referrer_id,total_rewards
192befbbd8b97260e28db080a661578c,0
1eab0611433407d851896635a5b735f5,0
2bab9f04bacea881a9e796136ac186da,0
2c71c5d66c7e12a0b3c200ba6ed3b78e,45
4acfa96cb521b6963b50bcef95bee485,10
8575e4f470c06e133f95c4be9aa13934,0
93128ee70cc2e95bc632eb73f472213d,0
ac7437a85f72bcef29088bf148e05eb7,10
b755269324c62c3a6b0bb6568f5d4d26,0
cadba628952bde1670ac4c0792afc28a,0
cbac8ed440d53d1c6c187874c4193db2,10
d0a0d9ca8dc4f47226a8afd32ee2a848,0
f2de40c8394f4ea9a6aa49965380dd8f,30
